Player Stats, Player Photo, Player Name, Club, Club Stats, Club Badge, Position, Country, Country Flag
https://www.premierleague.com/en/players/98746/mehdi-abeid/overview,https://resources.premierleague.com/premierleague25/photos/players/110x140/placeholder.png,Mehdi Abeid,Newcastle United,https://www.premierleague.com/en/clubs/4/newcastle-united/overview,https://resources.premierleague.com/premierleague25/badges-alt/4.svg,Midfielder,Algeria,https://resources.premierleague.com/premierleague25/flags/dz.svg
https://www.premierleague.com/en/players/28566/abou-diaby/overview,https://resources.premierleague.com/premierleague25/photos/players/110x140/placeholder.png,Abou Diaby,Arsenal,https://www.premierleague.com/en/clubs/3/arsenal/overview,https://resources.premierleague.com/premierleague25/badges-alt/3.svg,Midfielder,France,https://resources.premierleague.com/premierleague25/flags/fr.svg
https://www.premierleague.com/en/players/95545/mohammed-abu/overview,https://resources.premierleague.com/premierleague25/photos/players/110x140/placeholder.png,Mohammed Abu,Manchester City,https://www.premierleague.com/en/clubs/43/manchester-city/overview,https://resources.premierleague.com/premierleague25/badges-alt/43.svg,Midfielder,Ghana,https://resources.premierleague.com/premierleague25/flags/gh.svg
https://www.premierleague.com/en/players/20208/charlie-adam/overview,https://resources.premierleague.com/premierleague25/photos/players/40x40/20208.png,Charlie Adam,Stoke City,https://www.premierleague.com/en/clubs/110/stoke-city/overview,https://resources.premierleague.com/premierleague25/badges-alt/110.svg,Midfielder,Scotland,https://resources.premierleague.com/premierleague25/flags/gb-sct.svg
https://www.premierleague.com/en/players/17500/emmanuel-adebayor/overview,https://resources.premierleague.com/premierleague25/photos/players/40x40/17500.png,Emmanuel Adebayor,Tottenham Hotspur,https://www.premierleague.com/en/clubs/6/tottenham-hotspur/overview,https://resources.premierleague.com/premierleague25/badges-alt/6.svg,Forward,Togo,https://resources.premierleague.com/premierleague25/flags/tg.svg
https://www.premierleague.com/en/players/60488/tom-adeyemi/overview,https://resources.premierleague.com/premierleague25/photos/players/110x140/placeholder.png,Tom Adeyemi,Norwich City,https://www.premierleague.com/en/clubs/45/norwich-city/overview,https://resources.premierleague.com/premierleague25/badges-alt/45.svg,Midfielder,England,https://resources.premierleague.com/premierleague25/flags/gb-eng.svg
https://www.premierleague.com/en/players/130181/krisztian-adorjan/overview,https://resources.premierleague.com/premierleague25/photos/players/110x140/placeholder.png,Krisztian Adorjan,Liverpool,https://www.premierleague.com/en/clubs/14/liverpool/overview,https://resources.premierleague.com/premierleague25/badges-alt/14.svg,Forward,Hungary,https://resources.premierleague.com/premierleague25/flags/hu.svg
https://www.premierleague.com/en/players/88498/benik-afobe/overview,https://resources.premierleague.com/premierleague25/photos/players/40x40/88498.png,Benik Afobe,Arsenal,https://www.premierleague.com/en/clubs/3/arsenal/overview,https://resources.premierleague.com/premierleague25/badges-alt/3.svg,Forward,DR Congo,https://resources.premierleague.com/premierleague25/flags/cd.svg
https://www.premierleague.com/en/players/27450/gabriel-agbonlahor/overview,https://resources.premierleague.com/premierleague25/photos/players/40x40/27450.png,Gabriel Agbonlahor,Aston Villa,https://www.premierleague.com/en/clubs/7/aston-villa/overview,https://resources.premierleague.com/premierleague25/badges-alt/7.svg,Forward,England,https://resources.premierleague.com/premierleague25/flags/gb-eng.svg
https://www.premierleague.com/en/players/21094/daniel-agger/overview,https://resources.premierleague.com/premierleague25/photos/players/40x40/21094.png,Daniel Agger,Liverpool,https://www.premierleague.com/en/clubs/14/liverpool/overview,https://resources.premierleague.com/premierleague25/badges-alt/14.svg,Defender,Denmark,https://resources.premierleague.com/premierleague25/flags/dk.svg
https://www.premierleague.com/en/players/39217/kemy-agustien/overview,https://resources.premierleague.com/premierleague25/photos/players/110x140/placeholder.png,Kemy Agustien,Swansea City,https://www.premierleague.com/en/clubs/80/swansea-city/overview,https://resources.premierleague.com/premierleague25/badges-alt/80.svg,Midfielder,Curacao,https://resources.premierleague.com/premierleague25/flags/cw.svg
https://www.premierleague.com/en/players/37572/sergio-aguero/overview,https://resources.premierleague.com/premierleague25/photos/players/40x40/37572.png,Sergio Agüero,Manchester City,https://www.premierleague.com/en/clubs/43/manchester-city/overview,https://resources.premierleague.com/premierleague25/badges-alt/43.svg,Forward,Argentina,https://resources.premierleague.com/premierleague25/flags/ar.svg
https://www.premierleague.com/en/players/78270/hope-akpan/overview,https://resources.premierleague.com/premierleague25/photos/players/110x140/placeholder.png,Hope Akpan,Reading,https://www.premierleague.com/en/clubs/108/reading/overview,https://resources.premierleague.com/premierleague25/badges-alt/108.svg,Midfielder,Nigeria,https://resources.premierleague.com/premierleague25/flags/ng.svg
https://www.premierleague.com/en/players/147675/chuba-akpom/overview,https://resources.premierleague.com/premierleague25/photos/players/40x40/147675.png,Chuba Akpom,Arsenal,https://www.premierleague.com/en/clubs/3/arsenal/overview,https://resources.premierleague.com/premierleague25/badges-alt/3.svg,Forward,England,https://resources.premierleague.com/premierleague25/flags/gb-eng.svg
https://www.premierleague.com/en/players/126184/nathan-ake/overview,https://resources.premierleague.com/premierleague25/photos/players/40x40/126184.png,Nathan Aké,Chelsea,https://www.premierleague.com/en/clubs/8/chelsea/overview,https://resources.premierleague.com/premierleague25/badges-alt/8.svg,Defender,Netherlands,https://resources.premierleague.com/premierleague25/flags/nl.svg
https://www.premierleague.com/en/players/51938/marc-albrighton/overview,https://resources.premierleague.com/premierleague25/photos/players/40x40/51938.png,Marc Albrighton,Aston Villa,https://www.premierleague.com/en/clubs/7/aston-villa/overview,https://resources.premierleague.com/premierleague25/badges-alt/7.svg,Midfielder,England,https://resources.premierleague.com/premierleague25/flags/gb-eng.svg
https://www.premierleague.com/en/players/43035/antolin-alcaraz/overview,https://resources.premierleague.com/premierleague25/photos/players/110x140/placeholder.png,Antolin Alcaraz,Wigan Athletic,https://www.premierleague.com/en/clubs/111/wigan-athletic/overview,https://resources.premierleague.com/premierleague25/badges-alt/111.svg,Defender,Paraguay,https://resources.premierleague.com/premierleague25/flags/py.svg
https://www.premierleague.com/en/players/84933/daniel-alfei/overview,https://resources.premierleague.com/premierleague25/photos/players/110x140/placeholder.png,Daniel Alfei,Swansea City,https://www.premierleague.com/en/clubs/80/swansea-city/overview,https://resources.premierleague.com/premierleague25/badges-alt/80.svg,Defender,Wales,https://resources.premierleague.com/premierleague25/flags/gb-wls.svg
https://www.premierleague.com/en/players/84508/scott-allan/overview,https://resources.premierleague.com/premierleague25/photos/players/110x140/placeholder.png,Scott Allan,West Bromwich Albion,https://www.premierleague.com/en/clubs/35/west-bromwich-albion/overview,https://resources.premierleague.com/premierleague25/badges-alt/35.svg,Midfielder,Scotland,https://resources.premierleague.com/premierleague25/flags/gb-sct.svg
https://www.premierleague.com/en/players/40555/joe-allen/overview,https://resources.premierleague.com/premierleague25/photos/players/40x40/40555.png,Joe Allen,Liverpool,https://www.premierleague.com/en/clubs/14/liverpool/overview,https://resources.premierleague.com/premierleague25/badges-alt/14.svg,Midfielder,Wales,https://resources.premierleague.com/premierleague25/flags/gb-wls.svg
https://www.premierleague.com/en/players/38530/nani/overview,,Nani,Manchester United,https://www.premierleague.com/en/clubs/1/manchester-united/overview,,Midfielder,Portugal,https://resources.premierleague.com/premierleague25/flags/pt.svg
https://www.premierleague.com/en/players/106256/jak-alnwick/overview,,Jak Alnwick,Newcastle United,https://www.premierleague.com/en/clubs/4/newcastle-united/overview,,Goalkeeper,England,https://resources.premierleague.com/premierleague25/flags/gb-eng.svg
https://www.premierleague.com/en/players/92984/wellington-silva/overview,,Wellington Silva,Arsenal,https://www.premierleague.com/en/clubs/3/arsenal/overview,,Forward,Brazil,https://resources.premierleague.com/premierleague25/flags/br.svg
https://www.premierleague.com/en/players/86158/romain-amalfitano/overview,,Romain Amalfitano,Newcastle United,https://www.premierleague.com/en/clubs/4/newcastle-united/overview,,Midfielder,France,https://resources.premierleague.com/premierleague25/flags/fr.svg
https://www.premierleague.com/en/players/6240/shola-ameobi/overview,,Shola Ameobi,Newcastle United,https://www.premierleague.com/en/clubs/4/newcastle-united/overview,,Forward,Nigeria,https://resources.premierleague.com/premierleague25/flags/ng.svg
https://www.premierleague.com/en/players/97612/sammy-ameobi/overview,,Sammy Ameobi,Newcastle United,https://www.premierleague.com/en/clubs/4/newcastle-united/overview,,Midfielder,England,https://resources.premierleague.com/premierleague25/flags/gb-eng.svg
https://www.premierleague.com/en/players/51922/ben-amos/overview,,Ben Amos,Manchester United,https://www.premierleague.com/en/clubs/1/manchester-united/overview,,Goalkeeper,England,https://resources.premierleague.com/premierleague25/flags/gb-eng.svg
https://www.premierleague.com/en/players/40690/mikkel-andersen/overview,,Mikkel Andersen,Reading,https://www.premierleague.com/en/clubs/108/reading/overview,,Goalkeeper,Denmark,https://resources.premierleague.com/premierleague25/flags/dk.svg
https://www.premierleague.com/en/players/91128/bruno-andrade/overview,,Bruno Andrade,Queens Park Rangers,https://www.premierleague.com/en/clubs/52/queens-park-rangers/overview,,Midfielder,Portugal,https://resources.premierleague.com/premierleague25/flags/pt.svg
https://www.premierleague.com/en/players/88497/chuks-aneke/overview,,Chuks Aneke,Arsenal,https://www.premierleague.com/en/clubs/3/arsenal/overview,,Midfielder,England,https://resources.premierleague.com/premierleague25/flags/gb-eng.svg
https://www.premierleague.com/en/players/133797/martin-angha/overview,,Martin Angha,Arsenal,https://www.premierleague.com/en/clubs/3/arsenal/overview,,Defender,Switzerland,https://resources.premierleague.com/premierleague25/flags/ch.svg
https://www.premierleague.com/en/players/28593/victor-anichebe/overview,,Victor Anichebe,Everton,https://www.premierleague.com/en/clubs/11/everton/overview,,Forward,Nigeria,https://resources.premierleague.com/premierleague25/flags/ng.svg
https://www.premierleague.com/en/players/40799/vurnon-anita/overview,,Vurnon Anita,Newcastle United,https://www.premierleague.com/en/clubs/4/newcastle-united/overview,,Midfielder,Netherlands,https://resources.premierleague.com/premierleague25/flags/nl.svg
https://www.premierleague.com/en/players/147692/zak-ansah/overview,,Zak Ansah,Arsenal,https://www.premierleague.com/en/clubs/3/arsenal/overview,,Forward,England,https://resources.premierleague.com/premierleague25/flags/gb-eng.svg
https://www.premierleague.com/en/players/107084/jordan-archer/overview,,Jordan Archer,Tottenham Hotspur,https://www.premierleague.com/en/clubs/6/tottenham-hotspur/overview,,Goalkeeper,Scotland,https://resources.premierleague.com/premierleague25/flags/gb-sct.svg
https://www.premierleague.com/en/players/106175/nick-arnold/overview,,Nick Arnold,Reading,https://www.premierleague.com/en/clubs/108/reading/overview,,Defender,England,https://resources.premierleague.com/premierleague25/flags/gb-eng.svg
https://www.premierleague.com/en/players/13227/andrey-arshavin/overview,,Andrey Arshavin,Arsenal,https://www.premierleague.com/en/clubs/3/arsenal/overview,,Midfielder,Russia,https://resources.premierleague.com/premierleague25/flags/ru.svg
https://www.premierleague.com/en/players/8758/mikel-arteta/overview,,Mikel Arteta,Arsenal,https://www.premierleague.com/en/clubs/3/arsenal/overview,,Midfielder,Spain,https://resources.premierleague.com/premierleague25/flags/es.svg
https://www.premierleague.com/en/players/77305/oussama-assaidi/overview,,Oussama Assaidi,Liverpool,https://www.premierleague.com/en/clubs/14/liverpool/overview,,Midfielder,Morocco,https://resources.premierleague.com/premierleague25/flags/ma.svg
https://www.premierleague.com/en/players/28146/benoit-assou-ekotto/overview,,Benoit Assou-Ekotto,Tottenham Hotspur,https://www.premierleague.com/en/clubs/6/tottenham-hotspur/overview,,Defender,Cameroon,https://resources.premierleague.com/premierleague25/flags/cm.svg
https://www.premierleague.com/en/players/75880/daniel-ayala/overview,https://resources.premierleague.com/premierleague25/photos/players/40x40/75880.png,Daniel Ayala,Norwich City,https://www.premierleague.com/en/clubs/45/norwich-city/overview,https://resources.premierleague.com/premierleague25/badges-alt/45.svg,Defender,Spain,https://resources.premierleague.com/premierleague25/flags/es.svg
https://www.premierleague.com/en/players/41328/cesar-azpilicueta/overview,https://resources.premierleague.com/premierleague25/photos/players/40x40/41328.png,César Azpilicueta,Chelsea,https://www.premierleague.com/en/clubs/8/chelsea/overview,https://resources.premierleague.com/premierleague25/badges-alt/8.svg,Defender,Spain,https://resources.premierleague.com/premierleague25/flags/es.svg
https://www.premierleague.com/en/players/47412/demba-ba/overview,https://resources.premierleague.com/premierleague25/photos/players/40x40/47412.png,Demba Ba,Chelsea,https://www.premierleague.com/en/clubs/8/chelsea/overview,https://resources.premierleague.com/premierleague25/badges-alt/8.svg,Forward,Senegal,https://resources.premierleague.com/premierleague25/flags/sn.svg
https://www.premierleague.com/en/players/12745/leighton-baines/overview,https://resources.premierleague.com/premierleague25/photos/players/40x40/12745.png,Leighton Baines,Everton,https://www.premierleague.com/en/clubs/11/everton/overview,https://resources.premierleague.com/premierleague25/badges-alt/11.svg,Defender,England,https://resources.premierleague.com/premierleague25/flags/gb-eng.svg
https://www.premierleague.com/en/players/15968/chris-baird/overview,https://resources.premierleague.com/premierleague25/photos/players/40x40/15968.png,Chris Baird,Fulham,https://www.premierleague.com/en/clubs/54/fulham/overview,https://resources.premierleague.com/premierleague25/badges-alt/54.svg,Defender,Northern Ireland,https://resources.premierleague.com/premierleague25/flags/gb-nir.svg
https://www.premierleague.com/en/players/126186/lewis-baker/overview,https://resources.premierleague.com/premierleague25/photos/players/40x40/126186.png,Lewis Baker,Chelsea,https://www.premierleague.com/en/clubs/8/chelsea/overview,https://resources.premierleague.com/premierleague25/badges-alt/8.svg,Midfielder,England,https://resources.premierleague.com/premierleague25/flags/gb-eng.svg
https://www.premierleague.com/en/players/52477/nathan-baker/overview,https://resources.premierleague.com/premierleague25/photos/players/110x140/placeholder.png,Nathan Baker,Aston Villa,https://www.premierleague.com/en/clubs/7/aston-villa/overview,https://resources.premierleague.com/premierleague25/badges-alt/7.svg,Defender,England,https://resources.premierleague.com/premierleague25/flags/gb-eng.svg
https://www.premierleague.com/en/players/49281/angelo-balanta/overview,https://resources.premierleague.com/premierleague25/photos/players/110x140/placeholder.png,Angelo Balanta,Queens Park Rangers,https://www.premierleague.com/en/clubs/52/queens-park-rangers/overview,https://resources.premierleague.com/premierleague25/badges-alt/52.svg,Midfielder,Colombia,https://resources.premierleague.com/premierleague25/flags/co.svg
https://www.premierleague.com/en/players/36903/gareth-bale/overview,https://resources.premierleague.com/premierleague25/photos/players/40x40/36903.png,Gareth Bale,Tottenham Hotspur,https://www.premierleague.com/en/clubs/6/tottenham-hotspur/overview,https://resources.premierleague.com/premierleague25/badges-alt/6.svg,Midfielder,Wales,https://resources.premierleague.com/premierleague25/flags/gb-wls.svg
https://www.premierleague.com/en/players/106617/patrick-bamford/overview,https://resources.premierleague.com/premierleague25/photos/players/40x40/106617.png,Patrick Bamford,Chelsea,https://www.premierleague.com/en/clubs/8/chelsea/overview,https://resources.premierleague.com/premierleague25/badges-alt/8.svg,Forward,England,https://resources.premierleague.com/premierleague25/flags/gb-eng.svg
https://www.premierleague.com/en/players/59013/barry-bannan/overview,https://resources.premierleague.com/premierleague25/photos/players/110x140/placeholder.png,Barry Bannan,Aston Villa,https://www.premierleague.com/en/clubs/7/aston-villa/overview,https://resources.premierleague.com/premierleague25/badges-alt/7.svg,Midfielder,Scotland,https://resources.premierleague.com/premierleague25/flags/gb-sct.svg
